 999 | 9000.00
1001 | 11130.00
1002 | 10160.00
1003 | 14280.00
1004 | 11760.00
1005 | 12735.00
1006 | 6580.00
1007 | 8450.00
1008 | 11065.00
1009 | 10195.00
1010 | 9310.00
1011 | 11480.00
1012 | 11385.00
1013 | 10450.00
1014 | 11935.00
1016 | 11450.00
1017 | 9835.00
1018 | 12505.00
1019 | 7595.00
1020 | 12005.00
1021 | 10645.00
1022 | 9880.00
1023 | 11470.00
1024 | 9240.00
1025 | 10740.00
1026 | 7350.00
1027 | 13075.00
1028 | 11205.00
1029 | 11615.00
1030 | 11300.00
1031 | 9800.00
1032 | 15000.00
